Company,Location,# Laid Off,Date,%,Industry,Source,Stage,$ Raised,Country,Date Added
Warby Parker,,63,8/8/2022,,Consumer,https://www.businessinsider.com,Post-IPO,$535 ,United States,8/8/2022
Doma,,250,8/4/2022,13%,Finance,https://www.inman.com,Post-IPO,$679 ,United States,8/5/2022
10X Genomics,,100,8/4/2022,8%,Healthcare,https://www.genome.com,Post-IPO,$242 ,United States,8/4/2022
RingCentral,,50,8/4/2022,,Support,https://www.bizjournals.com,Post-IPO,$44 ,United States,8/4/2022
Beyond Meat,,40,8/3/2022,4%,Food,https://www.bloomberg.com,Post-IPO,$122 ,United States,8/4/2022
Robinhood,,713,8/2/2022,23%,Finance,https://techcrunch.com,Post-IPO,"$5,600 ",United States,8/2/2022
Latch,,115,8/2/2022,37%,Security,https://www.globene.com,Post-IPO,$342 ,United States,8/2/2022
Butterfly Network,,,8/2/2022,10%,Healthcare,Internal memo,Post-IPO,$530 ,United States,8/2/2022
Allbirds,,23,7/28/2022,,Retail,Internal memo,Post-IPO,$202 ,United States,7/28/2022
2U,,,7/28/2022,20%,Education,https://www.insidehighered.com,Post-IPO,$426 ,United States,7/28/2022
Rivian,,840,7/27/2022,6%,Transport,https://www.cnn.com,Post-IPO,"$10,700 ",United States,7/27/2022
Outbrain,,38,7/26/2022,3%,Marketing,https://en.globes.co.il,Post-IPO,$394 ,United States,7/26/2022
Pear Therapeutics,,25,7/25/2022,9%,Healthcare,https://www.massdev.com,Post-IPO,$409 ,United States,7/25/2022
AppGate,,130,7/21/2022,22%,Security,https://m.marketscreener.com,Post-IPO,"$4,900 ",United States,7/21/2022
Lyft,,60,7/20/2022,2%,Transport,https://www.wsj.com,Post-IPO,$533 ,United States,7/20/2022
Invitae,,1000,7/19/2022,,Healthcare,https://www.genome.com,Post-IPO,"$2,000 ",United States,7/19/2022
Vimeo,,,7/18/2022,6%,Consumer,https://www.businessinsider.com,Post-IPO,$450 ,United States,7/18/2022
Canoo,,58,7/1/2022,6%,Transport,https://www.businessinsider.com,Post-IPO,$300 ,United States,7/1/2022
Enjoy,,400,6/30/2022,18%,Retail,https://news.crunchbase.com,Post-IPO,$310 ,United States,6/30/2022
Unity,,200,6/29/2022,4%,Other,https://kotaku.com,Post-IPO,"$1,300 ",United States,6/29/2022
AppLovin,,300,6/27/2022,12%,Marketing,https://www.bizjournals.com,Post-IPO,"$1,600 ",United States,6/28/2022
UiPath,,210,6/27/2022,5%,Data,https://www.cnbc.com,Post-IPO,"$2,000 ",United States,6/27/2022
Cue,,170,6/27/2022,,Healthcare,https://www.genome.com,Post-IPO,$999 ,United States,6/27/2022
Netflix,,300,6/23/2022,3%,Media,https://www.cnbc.com,Post-IPO,"$121,900 ",United States,6/23/2022
IronNet,,90,6/22/2022,35%,Security,https://www.crn.com,Post-IPO,$410 ,United States,9/17/2022
IronNet,,55,6/22/2022,17%,Security,https://irironnet.com,Post-IPO,$410 ,United States,6/24/2022
Sprinklr,,50,6/22/2022,,Support,https://www.businessinsider.com,Post-IPO,$429 ,United States,6/25/2022
TaskUs,,52,6/21/2022,0%,Support,Internal memo,Post-IPO,$279 ,United States,6/21/2022
Coinbase,,1100,6/14/2022,18%,Crypto,https://www.cnbc.com,Post-IPO,$549 ,United States,6/14/2022
Redfin,,470,6/14/2022,8%,Real Estate,https://www.streetinsider.com,Post-IPO,$319 ,United States,6/14/2022
Compass,,450,6/14/2022,10%,Real Estate,https://www.bloomberg.com,Post-IPO,"$1,600 ",United States,6/14/2022
Desktop Metal,,,6/13/2022,12%,Other,https://www.marketwatch.com,Post-IPO,$811 ,United States,6/13/2022
Stitch Fix,,330,6/9/2022,15%,Retail,https://www.cnbc.com,Post-IPO,$79 ,United States,6/9/2022
Sonder,,250,6/8/2022,21%,Travel,Internal memo,Post-IPO,$839 ,United States,6/8/2022
Bird,,138,6/7/2022,23%,Transport,Internal memo,Post-IPO,$783 ,United States,6/7/2022
Tesla,,,6/3/2022,10%,Transport,https://www.cnbc.com,Post-IPO,"$20,200 ",United States,11/9/2022
PayPal,,83,5/23/2022,,Finance,https://www.bizjournals.com,Post-IPO,$216 ,United States,5/25/2022
Latch,,130,5/20/2022,28%,Security,https://www.globene.com,Post-IPO,$342 ,United States,5/21/2022
Skillz,,70,5/20/2022,10%,Consumer,https://techcrunch.com,Post-IPO,$287 ,United States,5/21/2022
Netflix,,150,5/17/2022,1%,Media,https://www.cnbc.com,Post-IPO,"$121,900 ",United States,5/17/2022
Carvana,,2500,5/10/2022,12%,Transport,https://techcrunch.com,Post-IPO,"$1,600 ",United States,5/10/2022
Doma,,310,5/10/2022,15%,Finance,https://www.housing.com,Post-IPO,$679 ,United States,5/12/2022
Latch,,30,5/10/2022,6%,Security,https://techcrunch.com,Post-IPO,$342 ,United States,5/11/2022
Vroom,,270,5/9/2022,14%,Transport,https://www.marketwatch.com,Post-IPO,"$1,300 ",United States,5/9/2022
Netflix,,200,4/28/2022,,Media,https://www.thewrap.com,Post-IPO,"$121,900 ",United States,5/11/2022
Robinhood,,340,4/26/2022,9%,Finance,https://www.cnbc.com,Post-IPO,"$5,600 ",United States,4/26/2022
Lemonade,,52,4/20/2022,,Finance,https://coverager.com,Post-IPO,$481 ,United States,5/27/2022
Blend,,200,4/19/2022,10%,Finance,https://www.housing.com,Post-IPO,$665 ,United States,4/19/2022
Talis Biomedical,,,3/15/2022,25%,Healthcare,https://www.fool.com,Post-IPO,$8 ,United States,6/17/2022
Sezzle,,,3/10/2022,20%,Finance,https://www.protocol.com,Post-IPO,$301 ,United States,3/10/2022
Adaptive Biotechnologies,,100,3/8/2022,12%,Healthcare,https://www.geekwire.com,Post-IPO,$406 ,United States,5/29/2022
Wish,,190,3/1/2022,15%,Retail,https://www.marketwatch.com,Post-IPO,"$1,600 ",United States,5/13/2022
Peloton,,2800,2/8/2022,20%,Fitness,https://techcrunch.com,Post-IPO,"$1,900 ",United States,2/8/2022
Root Insurance,,330,1/20/2022,,Finance,https://coverager.com,Post-IPO,$527 ,United States,1/23/2022
Zillow,,2000,11/2/2021,25%,Real Estate,https://www.geekwire.com,Post-IPO,$97 ,United States,11/2/2021
Zymergen,,120,9/23/2021,,Other,https://www.bizjournals.com,Post-IPO,$974 ,United States,9/25/2021
New Relic,,160,4/6/2021,7%,Infrastructure,https://siliconangle.com,Post-IPO,$215 ,United States,4/6/2021
Dropbox,,315,1/13/2021,15%,Other,https://www.cnbc.com,Post-IPO,"$1,700 ",United States,1/13/2021
Cue Health,San Diego,230,5/3/2024,49%,Healthcare,https://www.beckersh.com,Post-IPO,$899 ,United States,5/4/2024
Rivian,Los Angeles,150,5/3/2024,,Transportation,https://abc7.com/rivian,Post-IPO,"$10,700 ",United States,5/11/2024
Luminar,Orlando,140,5/3/2024,20%,Transportation,https://techcrunch.com,Post-IPO,$780 ,United States,5/4/2024
Sprinklr,New York,116,5/3/2024,3%,Support,https://techcrunch.com,Post-IPO,$429 ,United States,5/3/2024
Bakkt,Atlanta,28,5/3/2024,,Crypto,https://seekingalpha.com,Post-IPO,$932 ,United States,5/4/2024
Peloton,New York,400,5/2/2024,15%,Fitness,https://www.cnbc.com,Post-IPO,"$1,900 ",United States,5/2/2024
Google,SF Bay Area,200,5/1/2024,,Consumer,https://www.cnbc.com,Post-IPO,$26 ,United States,5/2/2024
Tesla,Austin,500,4/30/2024,,Transportation,https://www.theverge.com,Post-IPO,"$20,200 ",United States,5/1/2024
Akili Interactive,Boston,,4/30/2024,46%,Healthcare,https://investors.akili.com,Post-IPO,$271 ,United States,5/2/2024
Rivian,Detroit,,4/17/2024,1%,Transportation,https://www.reuters.com,Post-IPO,"$10,700 ",United States,4/18/2024
Take-Two,New York,579,4/16/2024,5%,Consumer,https://www.ign.com,Post-IPO,"$4,100 ",United States,4/16/2024
Tesla,Austin,14000,4/15/2024,10%,Transportation,https://www.nytimes.com,Post-IPO,"$20,200 ",United States,4/15/2024
Intel,SF Bay Area,62,4/9/2024,,Hardware,https://www.crn.com,Post-IPO,$12 ,United States,4/11/2024
Apple,SF Bay Area,614,4/4/2024,,Hardware,https://www.bloomberg.com,Post-IPO,"$1,200 ",United States,4/4/2024
GoPro,SF Bay Area,,3/26/2024,4%,Consumer,https://www.wsj.com,Post-IPO,$288 ,United States,4/8/2024
Dell,Austin,6000,3/25/2024,5%,Hardware,https://siliconangle.com,Post-IPO,$176 ,United States,3/27/2024
Singular Genomics,San Diego,,3/19/2024,20%,Healthcare,https://www.genomeweb.com,Post-IPO,$33 ,United States,4/11/2024
Ancestry,Lehi,81,3/14/2024,6%,Consumer,https://endpts.com,Post-IPO,$462 ,United States,4/18/2024
Edgio,Phoenix,80,3/4/2024,10%,Infrastructure,https://investors.edgio.com,Post-IPO,"$1,700 ",United States,3/7/2024
Fisker,Los Angeles,,2/29/2024,15%,Transportation,https://techcrunch.com,Post-IPO,"$1,700 ",United States,2/29/2024
Electronic Arts,SF Bay Area,670,2/28/2024,5%,Consumer,https://www.cnbc.com,Post-IPO,$2 ,United States,2/28/2024
Vacasa,Portland,320,2/28/2024,5%,Travel,https://www.oregonlive.com,Post-IPO,$834 ,United States,2/29/2024
Bumble,Austin,350,2/27/2024,30%,Consumer,https://www.cnbc.com,Post-IPO,$313 ,United States,2/27/2024
Expedia,Seattle,1500,2/26/2024,8%,Travel,https://www.geekwire.com,Post-IPO,"$3,300 ",United States,2/27/2024
Affirm,Pittsburgh,60,2/21/2024,,Finance,https://www.bnnbreaking.com,Post-IPO,"$1,500 ",United States,2/22/2024
BuzzFeed,New York,,2/21/2024,16%,Media,https://variety.com,Post-IPO,$696 ,United States,2/22/2024
Rivian,Detroit,,2/21/2024,10%,Transportation,https://techcrunch.com,Post-IPO,"$10,700 ",United States,2/22/2024
Toast,Boston,550,2/15/2024,10%,Food,https://www.bloomberg.com,Post-IPO,$962 ,United States,2/15/2024
Sonder,SF Bay Area,106,2/15/2024,17%,Travel,https://www.sec.gov,Post-IPO,$839 ,United States,2/21/2024
Cisco,SF Bay Area,4250,2/14/2024,5%,Infrastructure,https://www.cnbc.com,Post-IPO,"$2,900 ",United States,2/14/2024
Instacart,SF Bay Area,250,2/13/2024,7%,Food,https://www.cnbc.com,Post-IPO,$137 ,United States,2/13/2024
Impinj,Seattle,50,2/13/2024,10%,Other,https://www.bizjournals.com,Post-IPO,$229 ,United States,3/14/2024
Riskified,New York,40,2/13/2024,6%,Retail,https://en.globes.co.il,Post-IPO,$525 ,United States,2/14/2024
SiriusXM,New York,160,2/12/2024,3%,Media,https://variety.com,Post-IPO,$529 ,United States,3/17/2024
Pure Storage,SF Bay Area,275,2/8/2024,,Data,https://blocksandfiles.com,Post-IPO,$948 ,United States,2/8/2024
Getaround,SF Bay Area,,2/8/2024,30%,Transportation,https://techcrunch.com,Post-IPO,$565 ,United States,2/8/2024
Tenable,Baltimore,,2/8/2024,5%,Security,https://www.bnnbreaking.com,Post-IPO,$536 ,United States,2/8/2024
DocuSign,SF Bay Area,440,2/6/2024,6%,Sales,https://www.cnbc.com,Post-IPO,$108 ,United States,2/6/2024
Amazon,Seattle,400,2/7/2024,,Retail,https://www.businessinsider.com,Post-IPO,"$4,900 ",United States,2/7/2024
Snap,Los Angeles,500,2/5/2024,10%,Consumer,https://www.cnbc.com,Post-IPO,"$4,900 ",United States,2/5/2024
Cue Health,San Diego,245,2/2/2024,30%,Healthcare,https://www.sandiego.com,Post-IPO,$899 ,United States,2/5/2024
Okta,SF Bay Area,400,2/1/2024,7%,Security,https://www.cnbc.com,Post-IPO,"$1,200 ",United States,2/1/2024
Zoom,SF Bay Area,150,2/1/2024,2%,Other,https://www.cnbc.com,Post-IPO,$276 ,United States,2/1/2024
Illumina,San Diego,111,2/1/2024,,Healthcare,https://www.sandiego.com,Post-IPO,$28 ,United States,2/2/2024
Zuora,SF Bay Area,,1/31/2024,8%,Finance,https://www.sec.gov,Post-IPO,$647 ,United States,2/2/2024
PayPal,SF Bay Area,2500,1/30/2024,9%,Finance,https://www.bloomberg.com,Post-IPO,$216 ,United States,1/30/2024
Block,SF Bay Area,1000,1/30/2024,10%,Finance,https://www.business.com,Post-IPO,$150 ,United States,1/30/2024
Procore,Santa Barbara,,1/30/2024,4%,Construction,Internal memo,Post-IPO,$654 ,United States,2/28/2024
iRobot,Boston,350,1/29/2024,31%,Consumer,https://www.cnbc.com,Post-IPO,$30 ,United States,1/29/2024
Salesforce,SF Bay Area,700,1/26/2024,1%,Sales,https://www.wsj.com,Post-IPO,$65 ,United States,1/26/2024
Microsoft,Seattle,1900,1/25/2024,,Other,https://www.theverge.com,Post-IPO,$1 ,United States,1/25/2024
Jamf,Minneapolis,,1/25/2024,6%,Other,https://www.streetinsider.com,Post-IPO,$332 ,United States,1/25/2024
Aurora,Pittsburgh,,1/24/2024,3%,Transport,https://techcrunch.com,Post-IPO,"$3,700 ",United States,1/25/2024
Desktop Metal,Boston,,1/24/2024,20%,Retail,https://irdesktopmet.com,Post-IPO,$811 ,United States,1/25/2024
eBay,SF Bay Area,1000,1/23/2024,9%,Transport,https://www.cnbc.com,Post-IPO,"$1,200 ",United States,1/23/2024
Vroom,New York,800,1/23/2024,90%,Retail,https://www.calcaliste.com,Post-IPO,"$1,300 ",United States,1/23/2024
Wayfair,Boston,1650,1/19/2024,13%,Retail,https://www.cnbc.com,Post-IPO,"$1,700 ",United States,1/19/2024
Amazon,Seattle,30,1/18/2024,,Retail,https://www.cnbc.com,Post-IPO,$108 ,United States,1/19/2024
Cloudflare,SF Bay Area,40,1/11/2024,,Security,https://twitter.com/ea.com,Post-IPO,$332 ,United States,1/11/2024
Google,SF Bay Area,1000,1/10/2024,,Consumer,https://www.theverge.com,Post-IPO,$26 ,United States,1/11/2024
