Company,Location,# Laid Off,Date,%,Industry,Source,Stage,$ Raised,Country,Date Added
Innovid,New York,,1/23/2023,10%,Marketing,https://www.marketw...,Post-IPO,"$1,700 ",United States,1/24/2023
Yext,New York,40,1/23/2023,8%,Marketing,https://www.marketw...,Post-IPO,"$1,200 ",United States,1/23/2023
Google,SF Bay Area,12000,1/20/2023,6%,Consumer,https://www.nytimes...,Post-IPO,"$22,200 ",United States,1/20/2023
Wayfair,Boston,1750,1/20/2023,10%,Retail,https://www.wsj.com...,Post-IPO,$233 ,United States,1/20/2023
Capital One,Washington,1100,1/19/2023,9%,Finance,https://www.reuters.c...,Post-IPO,$400 ,United States,1/19/2023
Proterra,SF Bay Area,300,1/19/2023,4%,Transport,https://news.yahoo.c...,Post-IPO,$225 ,United States,1/19/2023
WeWork,New York,300,1/19/2023,6%,Real Estate,https://d18rn0p25nw...,Post-IPO,$1 ,United States,1/19/2023
CS Disco,Austin,62,1/19/2023,9%,Legal,https://seekingalpha...,Post-IPO,$172 ,United States,1/19/2023
Magnite,Los Angeles,,1/19/2023,6%,Marketing,https://www.genome...,Post-IPO,$425 ,United States,1/19/2023
Personalis,SF Bay Area,,1/19/2023,30%,Healthcare,https://www.usatoday...,Post-IPO,$455 ,United States,1/19/2023
Microsoft,Seattle,10000,1/18/2023,5%,Other,https://digitalhealth...,Post-IPO,$550 ,United States,1/18/2023
Teladoc Health,New York,300,1/18/2023,6%,Healthcare,https://digitalhealth...,Post-IPO,$834 ,United States,1/18/2023
Vroom,New York,275,1/18/2023,20%,Transport,https://seekingalpha...,Post-IPO,"$1,300 ",United States,1/19/2023
8x8,SF Bay Area,155,1/18/2023,7%,Support,https://www.channelf...,Post-IPO,$253 ,United States,1/18/2023
Inspirato,Denver,109,1/18/2023,12%,Travel,https://sports.yahoo.c...,Post-IPO,$179 ,United States,1/19/2023
nCino,Wilmington,100,1/18/2023,7%,Finance,https://portcitydaily.c...,Post-IPO,"$1,100 ",United States,1/18/2023
Starry,Boston,100,1/18/2023,24%,Other,https://seekingalpha...,Post-IPO,$260 ,United States,1/18/2023
Bally's Interactive,Providence,284,1/18/2023,15%,Consumer,https://www.legalspo...,Post-IPO,$946 ,United States,1/21/2023
